Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
COL,27,170,170,Colombia,1,16479,13530,20070,16479,52.6,65.2,6.4
CHN,27,156,160,China,1,134156,126425,142360,134156,9.7,18.6,1.1
CHL,27,152,152,Chile,1,9678,6773,13829,9678,62.3,101.9,7.3
TCD,27,148,148,Chad,1,2582,2471,2698,2582,82.2,29.7,10.6
CAF,27,140,140,Central African Republic,1,257,208,317,257,31.3,10.3,3.6
CPV,27,132,132,Cape Verde,1,77,61,98,77,43.6,27.0,5.2
CAN,27,124,124,Canada,1,25560,23915,27319,25560,60.1,134.1,7.8
CMR,27,120,120,Cameroon,1,2050,1318,3189,2050,38.6,14.7,4.7
KHM,27,116,116,Cambodia,1,249,245,253,249,5.2,3.0,0.54
BDI,27,108,108,Burundi,1,822,608,1111,822,38.0,13.1,4.5
BFA,27,854,854,Burkina Faso,1,1152,1114,1191,1152,35.3,10.4,4.0
BGR,27,100,100,Bulgaria,1,3122,2932,3324,3122,38.2,94.0,4.8
BRN,27,096,96,Brunei Darussalam,1,43,25,75,43,21.4,18.6,2.6
BRA,27,076,76,Brazil,1,102519,89787,117056,102519,76.3,97.0,9.4
BWA,27,072,72,Botswana,1,159,118,214,159,23.9,13.4,2.8
BIH,27,070,70,Bosnia Herzegovina,1,922,804,1058,922,24.5,58.0,3.1
BOL,27,068,68,Bolivia (Plurinational State of),1,1935,1183,3164,1935,34.2,32.2,4.4
BTN,27,064,64,Bhutan,1,5,5,5,5,1.1,1.2,0.12
BEN,27,204,204,Benin,1,1048,912,1205,1048,38.0,16.4,4.7
BLZ,27,084,84,Belize,1,66,13,334,66,39.5,32.2,4.6
BEL,27,056,56,Belgium,1,10523,10168,10891,10523,81.7,181.7,10.3
BLR,27,112,112,Belarus,1,4972,4680,5282,4972,68.2,113.1,9.2
BRB,27,052,52,Barbados,1,263,125,555,263,100.5,188.4,11.9
BGD,27,050,50,Bangladesh,1,2335,2290,2381,2335,3.2,2.8,0.40
BHR,27,048,48,Bahrain,1,74,5,1027,74,13.4,6.4,1.8
BHS,27,044,44,Bahamas,1,199,42,937,199,89.1,102.2,10.4
AZE,27,031,31,Azerbaijan,1,565,364,878,565,10.8,11.0,1.5
AUT,27,040,40,Austria,1,5934,5415,6503,5934,61.0,132.6,8.0
AUS,27,036,36,Australia,1,18213,17630,18815,18213,77.2,140.3,9.8
ARM,27,051,51,Armenia,1,763,449,1298,763,37.2,54.6,5.1
ARG,27,032,32,Argentina,1,12836,10343,15930,12836,44.7,57.2,5.9
AGO,27,024,24,Angola,1,2618,2495,2747,2618,47.9,15.1,5.7
DZA,27,012,12,Algeria,1,3514,3294,3749,3514,15.5,15.3,1.9
ALB,27,008,8,Albania,1,419,295,596,419,12.2,28.7,0.98
AFG,27,004,4,Afghanistan,1,521,147,1851,521,6.5,2.5,0.81
